"ID","Common.Name","Date"
1,"Whale, gray","2-7-1987"
2,"Whale, gray","6-3-1988"
3,"Whale, gray","1-10-1989"
4,"Whale, gray","4-10-1989"
5,"Whale, gray","4-25-1989"
6,"Whale, gray","5-28-1989"
7,"Whale, gray","6-13-1989"
8,"Whale, gray","6-15-1989"
9,"Whale, gray","6-24-1989"
10,"Whale, gray","7-18-1989"
11,"Whale, gray","7-21-1989"
12,"Whale, gray","4-3-1990"
13,"Whale, gray","4-15-1990"
14,"Whale, gray","4-29-1990"
15,"Whale, gray","5-19-1990"
16,"Whale, gray","5-19-1990"
17,"Whale, gray","6-2-1990"
18,"Whale, gray","5-31-1990"
19,"Whale, gray","6-8-1990"
20,"Whale, gray","6-19-1990"
21,"Whale, gray","6-14-1990"
22,"Whale, gray","6-25-1990"
23,"Whale, gray","7-7-1990"
24,"Whale, gray","2-10-1991"
25,"Whale, gray","3-22-1991"
26,"Whale, gray","4-15-1991"
27,"Whale, gray","5-5-1991"
28,"Whale, gray","5-11-1991"
29,"Whale, gray","5-9-1991"
30,"Whale, gray","5-18-1991"
31,"Whale, gray","6-5-1991"
32,"Whale, gray","6-10-1991"
33,"Whale, gray","6-27-1991"
34,"Whale, gray","7-4-1991"
35,"Whale, gray","7-14-1991"
36,"Whale, gray","11-3-1991"
37,"Whale, gray","3-7-1992"
38,"Whale, gray","4-15-1992"
39,"Whale, gray","5-10-1992"
40,"Whale, gray","5-24-1992"
41,"Whale, gray","3-31-1993"
42,"Whale, gray","3-29-1993"
43,"Whale, gray","4-13-1994"
44,"Whale, gray","1-28-1995"
45,"Whale, gray","3-24-1995"
46,"Whale, gray","3-24-1995"
47,"Whale, gray","5-20-1995"
48,"Whale, gray","5-20-1995"
49,"Whale, gray","7-18-1995"
50,"Whale, gray","9-7-1995"
51,"Whale, gray","9-12-1995"
52,"Whale, gray","11-13-1995"
53,"Whale, gray","12-20-1995"
54,"Whale, gray","4-1-1996"
55,"Whale, gray","4-9-1996"
56,"Whale, gray","5-10-1996"
57,"Whale, gray","5-15-1996"
58,"Whale, gray","2-4-1997"
59,"Whale, gray","4-18-1997"
60,"Whale, gray","5-1-1997"
61,"Whale, gray","7-2-1997"
62,"Whale, gray","9-9-1997"
63,"Whale, gray","12-23-1997"
64,"Whale, gray","3-21-1998"
65,"Whale, gray","5-7-1998"
66,"Whale, gray","6-4-1998"
67,"Whale, gray","11-24-1998"
68,"Whale, gray","1-31-1999"
69,"Whale, gray","2-18-1999"
70,"Whale, gray","4-8-1999"
71,"Whale, gray","4-7-1999"
72,"Whale, gray","4-17-1999"
73,"Whale, gray","4-24-1999"
74,"Whale, gray","4-24-1999"
75,"Whale, gray","5-3-1999"
76,"Whale, gray","5-13-1999"
77,"Whale, gray","5-13-1999"
78,"Whale, gray","5-25-1999"
79,"Whale, gray","5-28-1999"
80,"Whale, gray","6-4-1999"
81,"Whale, gray","6-2-1999"
82,"Whale, gray","6-3-1999"
83,"Whale, gray","6-5-1999"
84,"Whale, gray","6-9-1999"
