Year,Date,Site,Plot,SpecCode,LeafNumber,Area,Perimeter,Length,Width,FreshMass,DryMass,SLA,LDMC
2011,7/27/11,1,1,ARISTR,1,1.164,,,,0.040,0.017,68.488,0.425
2011,7/27/11,1,1,ARISTR,2,1.806,,,,0.060,0.028,64.489,0.467
2011,7/27/11,1,1,ARISTR,3,1.178,,,,0.050,0.022,53.545,0.440
2011,7/27/11,1,1,ARISTR,4,1.979,,,,0.070,0.029,68.231,0.414
2011,7/27/11,1,1,ARISTR,5,1.130,,,,0.030,0.013,86.946,0.433
2011,7/27/11,1,3,CLEALN,1,2.870,,,,0.030,0.010,287.020,0.333
2011,7/27/11,1,3,CLEALN,2,10.499,,,,0.120,0.031,338.690,0.258
2011,7/27/11,1,3,CLEALN,3,6.390,,,,0.070,0.019,336.316,0.271
2011,7/27/11,1,3,CLEALN,4,5.206,,,,0.060,0.016,325.369,0.267
2011,7/27/11,1,3,CLEALN,5,4.663,,,,0.050,0.012,388.583,0.240
2011,7/27/11,1,3,OSMCIN,1,28.967,,,,0.620,0.086,336.823,0.139
2011,7/27/11,1,3,OSMCIN,2,37.629,,,,0.810,0.150,250.859,0.185
2011,7/27/11,1,3,OSMCIN,3,48.337,,,,1.010,0.191,253.075,0.189
2011,7/27/11,1,3,OSMCIN,4,34.279,,,,0.560,0.082,418.038,0.146
2011,7/27/11,1,3,OSMCIN,5,23.974,,,,0.450,0.085,282.041,0.189
2011,7/27/11,1,3,OXYARB,1,12.159,,,,0.250,0.038,319.971,0.152
2011,7/27/11,1,3,OXYARB,2,26.540,,,,0.630,0.090,294.892,0.143
2011,7/27/11,1,3,OXYARB,3,30.719,,,,0.710,0.096,319.985,0.135
2011,7/27/11,1,3,OXYARB,4,44.453,,,,1.090,0.158,281.348,0.145
2011,7/27/11,1,3,OXYARB,5,8.915,,,,0.185,0.029,307.403,0.157
2011,7/27/11,1,4,OSMCIN,1,70.322,,,,1.350,0.256,274.696,0.190
2011,7/27/11,1,4,OSMCIN,2,40.378,,,,0.680,0.114,354.193,0.168
2011,7/27/11,1,4,OSMCIN,3,72.109,,,,1.430,0.222,324.817,0.155
2011,7/27/11,1,4,OSMCIN,4,58.051,,,,1.070,0.167,347.608,0.156
2011,7/27/11,1,4,OSMCIN,5,53.422,,,,0.960,0.166,321.817,0.173
2011,7/27/11,1,4,OXYARB,1,31.436,,,,0.560,0.078,403.026,0.139
2011,7/27/11,1,4,OXYARB,2,20.053,,,,0.310,0.044,455.755,0.142
2011,7/27/11,1,4,OXYARB,3,10.429,,,,0.160,0.024,434.554,0.150
2011,7/27/11,1,4,OXYARB,4,17.423,,,,0.280,0.036,483.969,0.129
2011,7/27/11,1,4,OXYARB,5,7.447,,,,0.110,0.017,438.047,0.155
2011,7/27/11,1,4,PERPAL,1,35.458,,,,0.780,0.360,98.494,0.462
2011,7/27/11,1,4,PERPAL,2,32.592,,,,0.700,0.309,105.476,0.441
