"Year","Month","Day","Date","RF"
1985,1,1,"1/1/1985","68.4"
1985,1,2,"1/2/1985","67.8"
1985,1,3,"1/3/1985","67.7"
1985,1,4,"1/4/1985","67.8"
1985,1,5,"1/5/1985","67"
1985,1,6,"1/6/1985","67.9"
1985,1,7,"1/7/1985","68.1"
1985,1,8,"1/8/1985","67.4"
1985,1,9,"1/9/1985","68.1"
1985,1,10,"1/10/1985","67.4"
1985,1,11,"1/11/1985","67.7"
1985,1,12,"1/12/1985","68.4"
1985,1,13,"1/13/1985","72.6"
1985,1,14,"1/14/1985","72.3"
1985,1,15,"1/15/1985","72.4"
1985,1,16,"1/16/1985","74.7"
1985,1,17,"1/17/1985","75.8"
1985,1,18,"1/18/1985","74.1"
1985,1,19,"1/19/1985","75.4"
1985,1,20,"1/20/1985","81.7"
1985,1,21,"1/21/1985","84.9"
1985,1,22,"1/22/1985","85.3"
1985,1,23,"1/23/1985","82.5"
1985,1,24,"1/24/1985","78.2"
1985,1,25,"1/25/1985","73.9"
1985,1,26,"1/26/1985","71"
1985,1,27,"1/27/1985","69.5"
1985,1,28,"1/28/1985","69.6"
1985,1,29,"1/29/1985","68.7"
1985,1,30,"1/30/1985","68.3"
1985,1,31,"1/31/1985","69.9"
1985,2,1,"2/1/1985","72.2"
1985,2,2,"2/2/1985","73.8"
1985,2,3,"2/3/1985","73.6"
1985,2,4,"2/4/1985","70.9"
1985,2,5,"2/5/1985","71.2"
1985,2,6,"2/6/1985","70.6"
1985,2,7,"2/7/1985","70.3"
1985,2,8,"2/8/1985","72.5"
1985,2,9,"2/9/1985","73.2"
1985,2,10,"2/10/1985","73.6"
1985,2,11,"2/11/1985","73.2"
1985,2,12,"2/12/1985","72.3"
1985,2,13,"2/13/1985","70.8"
1985,2,14,"2/14/1985","70.6"
1985,2,15,"2/15/1985","70.2"
1985,2,16,"2/16/1985","69.8"
1985,2,17,"2/17/1985","70.9"
1985,2,18,"2/18/1985","73.4"
1985,2,19,"2/19/1985","76.1"
1985,2,20,"2/20/1985","75"
1985,2,21,"2/21/1985","74.2"
1985,2,22,"2/22/1985","73.3"
1985,2,23,"2/23/1985","71.7"
1985,2,24,"2/24/1985","70.5"
1985,2,25,"2/25/1985","70.1"
1985,2,26,"2/26/1985","69.7"
1985,2,27,"2/27/1985","68.9"
1985,2,28,"2/28/1985","69.7"
1985,3,1,"3/1/1985","69.3"
1985,3,2,"3/2/1985","69.1"
1985,3,3,"3/3/1985","69"
1985,3,4,"3/4/1985","68.6"
1985,3,5,"3/5/1985","67.5"
1985,3,6,"3/6/1985","68.1"
1985,3,7,"3/7/1985","68"
1985,3,8,"3/8/1985","68.7"
1985,3,9,"3/9/1985","68.7"
1985,3,10,"3/10/1985","68"
1985,3,11,"3/11/1985","69.6"
1985,3,12,"3/12/1985","69.3"
1985,3,13,"3/13/1985","69.5"
1985,3,14,"3/14/1985","69.5"
1985,3,15,"3/15/1985","69.6"
1985,3,16,"3/16/1985","70.1"
1985,3,17,"3/17/1985","72.1"
1985,3,18,"3/18/1985","74.6"
1985,3,19,"3/19/1985","74.2"
1985,3,20,"3/20/1985","74.2"
