country_name,continent_name,area_total,area_water,coastline,bioregion_name,bioregion_count,climate_count,species_total,species_resident,species_endemic,species_threatened,biodiv_index,plant_sp_count,human_pop,urban_pct,agricul_pct,forest_pct,protected_count,protected_area,iba_count,iba_area,eba_count,country_formal_en,country_formal_self,country_iso
Argentina,South America,2780400,43710,4989,South_American,1,19,1000,575,14,58,0.615,10221,46994384,92.5,53.9,10.7,250,125394,274,397509,10,Argentine Republic,República Argentina,ARG
Australia,Australia,7741220,58920,25760,Australian,2,13,726,493,354,52,0.853,30000,25466459,86.2,48.2,16.3,4072,1025880,310,438400,15,Commonwealth of Australia,Commonwealth of Australia,AUS
Austria,Europe,83871,1426,0,Eurasian,1,6,305,47,0,13,0.469,15638,8859449,58.8,32.4,46.9,695,24514,56,14447,0,Republic of Austria,Republik Österreich,AUT
Barbados,North America,430,0,97,Panamanian,1,1,204,42,1,3,NULL,2100,294560,31.2,23.3,4.7,6,3,7,2,1,Barbados,Barbados,BRB
Belgium,Europe,30528,250,67,Eurasian,1,2,265,33,0,11,0.445,1340,11977634,98.2,44.1,22.4,72,862,48,6483,0,Kingdom of Belgium,Koninkrijk België,BEL
Belize,North America,22966,160,386,Mexican,1,3,532,290,0,14,0.643,4192,415789,46.6,6.9,60.6,51,9132,6,31246,1,Belize,Belice,BLZ
Bhutan,Asia,38394,0,0,Oriental,1,7,623,399,0,19,0.607,5600,884546,44.4,13.6,85.5,9,10513,23,12133,1,Kingdom of Bhutan,Druk Gyal Khap,BTN
Botswana,Africa,581730,15000,0,African,1,3,539,365,0,21,0.461,920,2450668,72.9,45.8,19.8,12,104988,12,134196,0,Republic of Botswana,Lefatshe la Botswana,BWA
Brazil,South America,8515770,157630,7491,Amazonian,2,11,1816,1440,257,149,0.877,34387,220051512,87.8,32.9,61.9,657,557700,231,923096,25,Federative Republic of Brazil,República Federativa do Brasil,BRA
Cambodia,Asia,181035,4520,443,Oriental,1,2,514,297,2,32,0.568,5000,16926984,24.2,30.9,52.9,23,32672,40,44174,4,Kingdom of Cambodia,Preăh Réachéanachâkr Kâmpŭchéa,KHM
Canada,North America,9984670,891163,202080,North_American,2,18,516,73,3,22,0.299,3270,37694085,81.6,6.9,38.2,3226,925227,325,300900,0,Canada,Canada,CAN
Chile,South America,756102,12290,6435,South_American,1,10,439,157,14,34,0.57,5284,18186770,87.7,21.2,24.3,87,141421,177,55346,5,Republic of Chile,República de Chile,CHL
China,Asia,9596960,270550,14500,Chinese,4,19,1289,688,67,96,0.839,32200,1394015977,61.4,56.2,22.4,885,686806,512,1192573,14,People's Republic of China,Zhōnghuá Rénmín Gònghéguó,CHN
Colombia,South America,1138910,100210,3208,Panamanian,2,13,1873,1552,95,88,0.935,24025,49588357,82.4,37.5,54.4,95,94670,128,93334,20,Republic of Colombia,República de Colombia,COL
Costa Rica,North America,51100,40,1290,Panamanian,1,7,853,549,8,28,0.82,12119,5097988,89.8,34.5,54.6,130,11755,21,30710,6,Republic of Costa Rica,República de Costa Rica,CRI
Croatia,Europe,56594,620,5835,Eurasian,1,9,308,47,0,18,0.538,4288,2003431,58.6,23.7,34.4,195,4211,43,21755,0,Republic of Croatia,Republika Hrvatska,HRV
Dominican Republic,North America,48670,350,1288,Panamanian,1,9,245,75,1,17,0.661,6000,10499707,82.5,48.7,41.7,45,15545,21,7220,1,Dominican Republic,República Dominicana,DOM
Ecuador,South America,283561,6720,2237,Amazonian,1,16,1629,1343,42,99,0.873,19352,16904867,64.2,22.2,50.2,25,128548,109,92531,9,Republic of Ecuador,República del Ecuador,ECU
Egypt,Africa,1001450,6000,2450,Saharo-Arabian,1,3,377,78,0,19,0.326,2250,111247248,43.1,3.6,0.1,23,10084,34,36174,0,Arab Republic of Egypt,Jumhūrīyat Miṣr al-ʻArabīyah,EGY
England,Europe,130279,500,3200,Eurasian,1,2,266,36,0,11,0.32,1407,56286961,83.9,71.0,8,706,51317,78,7925,0,England,England,GBR
Finland,Europe,338145,34330,4600,Eurasian,1,3,263,39,0,15,0.290,1300,5626414,85.8,7.5,72.9,270,28408,99,28100,0,Republic of Finland,Suomen tasavalta,FIN
France,Europe,643801,3374,4853,Eurasian,1,12,358,60,1,17,0.423,4630,62814233,81.0,52.5,31.2,1521,84505,277,97135,1,French Republic,République française,FRA
