sample	genus_species	type	dbh(cm)	height(m)	total_root_fresh_mass(g)	root_tips_fresh_mass(g)	remaining_root_fresh_mass(g)	remaining_root_dry_mass(g)	root_tips_dry_mass(g)	total_root_dry_mass(g)	root_tip_mass_fraction(%)	root_dry_matter_content(mg/g)	root_water_content(%)	root_length(cm)	specific_root_length(cm/g)	root_area(cm²)	specifc_root_area(cm²/g)	root_avg_diam(mm)	root_len_per_vol(cm/m³)	root_volume(cm³)	root_tissue_density(g/cm³)	n_root_tips	branchiness(tips/length)	tip_abundance(tips/g)	n_forks	n_crossings
1	Acer laurinum	AM	2.88	3.40	0.60	0.27	0.34	0.11	0.08	0.18	44.40	315.22	68.48	199.89	1227.42	39.37	231.16	0.63	199.89	0.63	0.32	453.47	2.35	2668.89	589.93	21.13
2	Acronychia pedunculata	AM	10.60	8.90	0.73	0.25	0.48	0.13	0.07	0.20	37.01	265.35	73.47	183.71	982.14	36.45	199.07	0.68	183.71	0.58	0.34	314.56	1.99	1937.66	533.33	33.11
3	Actinodaphne henryi	AM	3.43	5.00	0.54	0.29	0.25	0.09	0.08	0.17	48.51	315.77	68.42	117.60	725.87	27.73	168.65	0.78	117.60	0.53	0.33	172.00	1.50	1114.00	222.67	7.33
4	Alchornea tiliifolia	AM	2.40	3.90	0.50	0.16	0.33	93.00	0.05	0.14	36.54	277.22	72.28	137.96	1140.82	27.66	227.15	0.66	137.96	0.45	0.32	444.33	3.16	3610.29	455.33	20.44
5	Antiaris toxicaria	AM	3.30	5.00	0.77	166.00	0.60	165.00	0.05	0.21	20.60	274.34	72.57	103.77	697.78	23.94	142.87	0.72	103.77	447.00	0.44	354.00	3.60	2557.80	262.00	9.00
6	Aporusa yunnanensis	AM	3.85	5.20	0.30	0.10	0.20	0.06	0.03	0.09	31.28	290.53	70.95	94.89	1119.06	18.19	217.51	0.63	94.89	0.28	0.32	324.83	3.96	4354.93	206.83	7.17
7	Baccaurea ramiflora	AM	6.40	5.23	0.40	0.09	0.30	0.07	0.03	0.09	31.31	238.76	76.12	61.02	756.31	16.11	187.44	0.89	61.02	0.35	0.27	151.89	2.41	2028.07	155.00	3.67
8	Barringtonia fusicarpa	AM	4.45	6.00	0.81	275.00	0.54	0.15	0.08	0.22	34.07	284.88	71.51	120.02	531.06	31.65	138.11	0.86	120.02	0.67	0.36	211.67	1.95	956.19	229.67	6.83
9	Beilschmiedia percoriacea	AM	1.80	4.10	0.50	144.00	0.36	135.00	0.04	0.18	23.44	352.59	64.74	42.94	252.93	15.09	87.94	1.11	42.94	0.42	0.41	105.67	2.44	640.41	19.67	1.00
10	Canarium album	AM	1.97	4.20	0.22	0.07	0.15	0.04	0.02	0.06	34.29	262.11	73.79	94.41	1655.02	16.60	291.18	0.59	94.41	0.24	0.25	271.33	3.28	4994.19	260.44	13.00
11	Canarium subulatum	AM	3.80	5.00	0.61	135.00	0.47	0.12	0.04	0.16	29.24	252.58	74.74	96.07	639.29	23.64	161.08	0.80	96.07	465.00	0.33	219.33	2.10	1322.32	232.33	6.00
12	Celtis tetrandra	AM	2.15	4.00	0.34	0.10	238.00	98.00	0.03	0.13	25.14	368.11	63.19	217.36	2011.60	28.39	255.86	0.44	217.36	0.30	0.44	700.33	3.31	6509.89	1073.67	89.50
13	Celtis timorensis	AM	3.35	4.75	0.27	0.09	182.00	0.07	0.03	0.09	29.97	345.79	65.42	166.48	2065.52	22.83	274.93	0.46	166.48	0.25	0.39	477.33	2.96	6051.03	734.00	49.00
14	Cinnamomum contractum	AM	4.35	5.65	0.48	0.21	269.00	0.08	0.06	0.15	45.42	299.43	70.06	103.71	745.37	24.47	178.35	0.77	103.71	0.46	0.32	283.17	2.74	1921.30	208.00	7.67
15	Cinnamomum glanduliferum	AM	10.40	7.50	0.73	0.29	0.44	0.12	0.08	0.20	37.47	275.71	72.43	65.61	327.69	19.22	98.44	1.08	65.61	0.47	0.41	105.83	2.31	576.53	113.00	2.67
16	Cleidion brevipetiolatum	AM	3.60	4.60	728.00	0.42	0.31	64.00	0.12	0.18	64.60	253.24	74.68	177.27	954.46	39.33	212.43	0.71	177.27	695.00	0.27	227.33	1.26	1208.70	297.33	14.33
17	Croton kongensis	AM	2.25	3525.00	0.55	0.22	0.33	0.09	0.06	0.15	38.70	277.29	72.27	115.45	707.27	23.66	149.71	0.87	115.45	0.42	0.38	188.33	1.74	1196.27	295.75	14.25
18	Cryptocarya acutifolia	AM	4.34	3.98	0.63	0.22	0.41	0.14	0.06	0.20	31.96	331.56	66.84	65.80	346.89	21.43	109.84	1.05	65.80	0.56	0.38	137.40	2.10	721.08	64.27	0.87
19	Cryptocarya chinensis	AM	11.70	7.90	536.00	234.00	302.00	97.00	0.07	0.16	41.26	305.55	69.44	95.85	591.81	24.86	153.36	0.85	95.85	0.52	0.32	272.00	2.87	1667.23	123.67	4.33
