family_ioc,seq,order_ioc,familiar_family,niche,taxonomy,num_gen,num_spp,num_spp_x,num_threat
Struthionidae,3001,Struthioniformes,Ostriches,flightless omnivores of savannas,EC n(ditypic) n(isolated clade; highly derived),1,2,0,1
Rheidae,3003,Rheiformes,Rheas,flightless omnivores of savannas,EC n(ditypic) n(isolated clade; highly derived),1,2,0,1
Apterygidae,3005,Apterygiformes,Kiwis,flightless nocturnal omnivores of forests,EC n(isolated clade; highly derived),1,5,0,4
Casuariidae,3007,Casuariiformes,Cassowaries and Emu,flightless omnivores of forest and savannah,RC >(Dromaiidae) n(isolated clade; highly derived),2,4,0,0
Tinamidae,3009,Tinamiformes,Tinamous,terrestrial omnivores of forests and savannas,EC n(traditionally considered basal to the flightless ratites but molecular evidence suggests embedded within them),9,46,0,6
Anhimidae,3011,Anseriformes,Screamers,swimming vegetarians of marshes and open areas,EC n(possibly basal within Anseriformes but relationshps among the three families unclear),2,3,0,0
Anseranatidae,3013,Anseriformes,Magpie Goose,swimming vegetarian of wetlands,EC n(monotypic),1,1,0,0
Anatidae,3015,Anseriformes,Ducks and relatives,swimming vegetarians of wetlands and coastal oceans,EC n(Dendocygna may be basal and sister to the remaining taxa within this family),51,166,8,31
Megapodiidae,3017,Galliformes,Megapodes,terrestrial browsers of forests (and scrublands),EC n(alternative familiar name = Mound-builders) n(likely sister group to remaining families in Galliformes),7,21,0,11
Cracidae,3019,Galliformes,Guans and relatives,arboreal omnivores of forests and scrublands,EC n(likely sister to Numididae+Odontophoridae+Phasianidae),11,56,0,19
Numididae,3021,Galliformes,Guineafowl,terrestrial omnivores of forests and savannas,EC <(Phasianidae),4,6,0,1
Odontophoridae,3023,Galliformes,New World Quail,terrestrial omnivores of diverse habitats,NC <(Phasianidae) +(Ptilopachus:Phasianidae),10,34,0,7
Phasianidae,3025,Galliformes,Pheasants and relatives,terrestrial vegetarians or carnivores of diverse habitats,RC x(Numididae) x(Odontophoridae) n(turkeys and grouse formerly considered separate clades now embedded herein) ,53,186,2,44
Caprimulgidae,3027,Caprimulgiformes,Nightjars,crepuscular/nocturnal aerial insectivores of diverse habitats,EC n(also known as Goatsuckers),20,96,1,9
Steatornithidae,3029,Steatornithiformes,Oilbird,nocturnal arboreal frugivore of forests,EC n(monotypic) n(sister to Nyctibiidae),1,1,0,0
Podargidae,3031,Podargiformes,Frogmouths,nocturnal arboreal carnivores of forests,EC n(proposed split of Australasian and Asian frogmouths would require also erecting a monotypic family for Rigidipenna),3,16,0,0
Aegothelidae,3035,Aegotheliformes,Owlet-nightjars,crepscular aerial/terrestrial insectivores of forests,EC ~o(Caprimulgiformes) n(basal within Apodiformes),1,9,0,1
Hemiprocnidae,3037,Apodiformes,Treeswifts,aerial insectivores of forests and other habitats,EC ~o(Caprimulgiformes) n(sister to Apodidae) n(also known as Whiskered Swifts),1,4,0,0
Apodidae,3039,Apodiformes,Swifts,aerial insectivores of diverse habitats,EC ~o(Caprimulgiformes) n(sister to Hemiprocnidae),19,113,0,6
Trochilidae,3041,Apodiformes,Hummingbirds,aerial necti(omni)vores of forests and other habitats,EC ~o(Caprimulgiformes) n(sister to Hemiprocnidae+Apodidae) n(composed of 8 main clades),112,359,2,38
Musophagidae,3043,Musophagiformes,Turacos,arboreal frugi(omni)vores of forests and savannas,EC n(isolated clade with closest affinities unclear),6,23,0,2
Otididae,3045,Otidiformes,Bustards,cursorial omnivores of grasslands and deserts,NC <(Gruiformes) n(isolated clade with closest affinities unclear),11,26,0,8
Cuculidae,3047,Cuculiformes,Cuckoos and relatives,primarily arboreal insectivores of diverse habitats,EC n(isolated clade with closest affinities unclear),32,148,2,10
Mesitornithidae,3049,Mesitornithiformes,Mesites,nearly flightless omnivores of scrublands and forests,EC <(Gruiformes) n(isolated clade with closest affinities unclear),2,3,0,3
Pteroclidae,3051,Pterocliformes,Sandgrouse,terrestrial grani(herbi)vores of arid habitats,EC n(isolated clade with closest affinities unclear),2,16,0,0
Columbidae,3053,Columbiformes,Pigeons and Doves,arboreal vegetarians of forests and other habitats,EC n(large isolated clade),46,338,13,65
