genus_ioc,seq,family_ioc,familiar_genus,taxonomy,num_sp
Anthracothorax,5175,Trochilidae,e(Mangos),~g(Trochilus) n(species boundaries unsettled),7
Lophornis,5181,Trochilidae,e(Coquettes),~g(Trochilus Ornismya Polemistria Paphosia) n(species boundaries unsettled),11
Thalurania,5245,Trochilidae,e(Woodnymphs),~g(Ornismya Trochilus) n(species boundaries unsettled),4
Limosa,5432,Scolopacidae,e(Godwits),~g(Scolopax),4
Plectrophenax,6776,Calcariidae,e(Snow Buntings),,2
Clangula,5054,Anatidae,m(Long-tailed Duck),~g(Anas Harelda),1
Rissa,5451,Laridae,e(Kittiwakes),,2
Pagophila,5452,Laridae,m(Ivory Gull),~g(Larus),1
Alca,5484,Alcidae,m(Razorbill),,1
Microspizias,5664,Accipitridae,e(Tiny Hawk and Semicollared Hawk),<(Accipiter),2
Cacicus,6817,Icteridae,p(Cacicus Caciques and Oropendolas),+(Ocyalus Clypicterus) x(Cassiculus) ~g(Cassicus Procacicus Archiplanus Xanthornus Aegelaeus Parus Psarocolius Oriolus),12
Guttera,5081,Numididae,e(Plumed and Crested Guineafowl),,4
Lophura,5101,Phasianidae,e(Lophura Pheasants) p(Pheasants),~g(Phasianus Heirophasis Delacourigallus Gennaeus Euplocamus Acomus Chalcomus Huoppifer Lobiophasus),11
Ducula,5361,Columbidae,e(Imperial Pigeons),~g(Columba Carpophaga),42
Ciconia,5523,Ciconiidae,e(Cicconia Storks),~g(Ardea Sphenorhynchus Dissoura Melanopelargus Euxenura),8
Myiophobus,6043,Tyrannidae,e(Myiophobus Flycatchers),-(Nephelomyias) ~g(Muscicapa Myiobius Mitrephorus) n(likely polyphyletic; revisions proposed),8
Gracula,6563,Sturnidae,e(hill Mynas) p(Mynas),~g(Eulabes),6
Turdus,6601,Turdidae,e(Turdus Thrushes),>(Platychichla Cichlherminia Nesocichla Mimocichla) ~g(Merula Psophocichla Merula Planesticus Lanius Haplocichla),88
Nectarinia,6675,Nectariniidae,e(Nectarinia Sunbirds),x(Anabathmis Dreptes Anthobaphes Cyanomitra Chalcomitra Leptocoma Drepanorhynchus Cinnyris) ~g(Certhia),6
Scythrops,5314,Cuculidae,m(Channel-billed Cuckoo),~g(Cuculus),1
Ptilonorhynchus,6146,Ptilonorhynchidae,m(Satin Bowerbird) p(Bowerbirds),,1
Aegithalos,6429,Aegithalidae,e(Long-tailed Tit and Old World Bushtits),~g(Parus Orites Psaltria Acredula Aegithaliscus Mecistura),10
Psaltriparus,6427,Aegithalidae,m(American Bushtit),~g(Parus),1
Halcyon,5755,Alcedinidae,e(Halcyon Kingfishers),~g(Alcedo Entomothera),12
Merops,5783,Meropidae,e(Merops Bee-eaters) p(Bee-eaters),>(Mellitophagus Bombylonax Aerops Dicrocercus Meropiscus) ~g(Meropogon) ,28
Chrysocolaptes,5859,Picidae,e(Chrysocolaptes Flamebacks) p(Flamebacks),>(Reinwardtipicus) ~g(Picus),9
Lichmera,6159,Meliphagidae,e(Lichmera Honeyeaters),~g(Melliphaga Certhia Ptilotis Stigmatops Melithreptus),9
Phaeoptila,5232,Trochilidae,m(Dusky Hummingbird),<(Cynanthus),1
Aeronautes,5148,Apodidae,e(Aeronautes swifts),,3
Aimophila,6800,Passerellidae,e(Aimophila sparrows),x(Peucaea),3
Basilinna,5236,Trochilidae,e(White-eared and Xantus’s Hummingbirds),,2
Cassiculus,6814,Icteridae,m(Mexican Cacique) p(Caciques),~g(Cacicus),1
Ploceus,6705,Ploceidae,e(Classic Weavers),~g(Loxia Othyphantes Hyphantornis Sitagra Fringilla Malimbus Oriolus Symplectes Melanopteryx Heterhyphantes Sycobius Parvus Foudia Pachyphantes Sycobrotus Sharpia Notospiza Thomasophantes Rhinoploceus) n(may be paraphyletic as currently constituted),67
Myiopagis,6023,Tyrannidae,e(Myiopagis Elaenias) p(Elaenias),~g(Elaenia),9
Struthio,5001,Struthionidae,e(Ostriches),,2
