seq,genus_ioc,species_ioc,subspecies_ioc,date_obs,time_obs,location_name,trip_name,notes
1,Pavo,cristatus,cristatus,1967-02-03,dusk,Kanha Kisli NP,Kanha_67,tropical dry forest; honorary first bird; first learned about sexual dimorphism
2,Gallus,gallus,murghi,1967-02-03,dusk,Kanha Kisli NP,Kanha_67,tropical dry forest; first learned about domestication
3,Corvus,splendens,splendens,1967-02-10,various,Leonard campus,Jabalpur_res,town; many childhood memories
4,Acridotheres,tristis,tristis,1967-12-01,various,Leonard campus,Jabalpur_res,town
5,Passer,domesticus,indicus,1967-12-01,various,Leonard campus,Jabalpur_res,town
6,Columba,livia,intermedia,1967-12-01,various,Leonard campus,Jabalpur_res,town
7,Cyanocitta,cristata,cristata,1968-07-01,various,Falls Church,FallsCh_res,town
8,Turdus,migratorius,achrusterus,1968-07-01,various,Falls Church,FallsCh_res,town
9,Quiscalus,quiscula,stonei,1968-07-01,various,Falls Church,FallsCh_res,town
10,Sturnus,vulgaris,vulgaris,1968-07-01,various,Falls Church,FallsCh_res,town
11,Cardinalis,cardinalis,cardinalis,1968-07-01,various,Schuyler,Schyl_rec,temperate deciduous forest; friend of family illegally shot 1M
12,Neophron,percnopterus,ginginianus,1969-12-15,various,Jabalpur,Jabalpur_res,town
13,Columba,livia,intermedia,1970-12-15,various,Mumbai,Bombay_res,city
14,Passer,domesticus,indicus,1970-12-15,various,Mumbai,Bombay_res,city
15,Otus,spilocephalus,huttoni,1971-03-12,night,Landour,Landour_res,temperate deciduous forest; call only; learned call from Mr Farley
16,Bubulcus,coromandus,coromandus,1972-01-10,various,Jabalpur,Jabalpur_res,town
17,Coracias,benghalensis,indicus,1972-01-12,various,Jabalpur,Jabalpur_res,town
18,Centropus,sinensis,parroti,1972-01-05,various,Jabalpur,Jabalpur_res,town; mom called it “King Crow”
19,Merops,orientalis,orientalis,1972-01-10,various,Jabalpur,Jabalpur_res,town; usually on wires in open areas; first bee-eater
20,Upupa,epops,ceylonensis,1972-01-12,various,Jabalpur,Jabalpur_res,town
21,Corvus,culminatus,culminatus,1972-01-20,various,Jabalpur,Jabalpur_res,town
22,Antigone,antigone,antigone,1972-02-20,various,rural MP,JabMus_comm,agricultural areas; first learned about life-long pair-bonding; first crane
23,Alcedo,atthis,bengalensis,1972-02-20,various,rural MP,JabMus_comm,agricultural areas; usually on wires; first kingfisher
24,Corvus,macrorhynchos,intermedius,1972-07-01,various,Landour,Landour_res,town and montane temperate deciduous forest
25,Psittacula,krameri,borealis,1972-12-20,various,Jabalpur,Jabalpur_res,town
26,Archilochus,colubris,colubris,1973-07-15,various,Schuyler,Schyl_rec,garden; first hummer
27,Branta,canadensis,canadensis,1973-10-10,various,Ann Arbor,AnnArb_res,at a lake near Ann Arbor; also on golf course during comute to school
28,Leptoptilos,javanicus,javanicus,1976-10-31,morning,Keoladeo NP,Mathura_76,wetland with scattered trees; nesting in treetops
29,Bubulcus,coromandus,coromandus,1976-10-31,morning,Keoladeo NP,Mathura_76,wetland with scattered trees; nesting in colonies in treetops
30,Antigone,antigone,antigone,1976-10-31,morning,Keoladeo NP,Mathura_76,wetland with scattered trees; nesting in colonies in treetops
31,Upupa,epops,ceylonensis,1976-06-10,morning,Tehri Road Landour,Landour_res,montane temperate deciduous forest; only observation in Mussoorie; first out-of-range observation (elev 2050m)
32,Urocissa,erythrorhyncha,occipitalis,1976-10-10,various,Tehri Road Landour,Landour_res,montane temperate deciduous forest; ; first spectacular corvid
33,Picus,squamatus,squamatus,1976-12-15,unknown,Khati,Pindari_76,montane temperate deciduous forest; first picid; ID by DIck Wechter
34,Phoenicurus,fuliginosus,fuliginosus,1976-12-15,unknown,Khati,Pindari_76,river through montane temperate deciduous forest; ID by DIck Wechter
35,Myophonus,caeruleus,temminckii,1976-12-15,unknown,Khati,Pindari_76,montane temperate deciduous forest; ID by DIck Wechter
36,Phoenicurus,leucoephalus,leucoephalus,1976-12-15,unknown,Khati,Pindari_76,river through montane temperate deciduous forest; ID by DIck Wechter
37,Motacilla,alba,personata,1976-12-15,unknown,Khati,Pindari_76,montane temperate deciduous forest; first motacilid; ID by DIck Wechter
38,Columba,leuconota,leuconota,1976-12-17,morning,Pindari Glacier,Pindari_76,alpine tundra; ID by DIck Wechter
39,Ardea,intermedia,intermedia,1978-01-20,afternoon,Pune,Pune_res,park by river through city
40,Egretta,garzetta,garzetta,1978-01-20,afternoon,Pune,Pune_res,park by river through city
41,Vanellus,indicus,indicus,1978-01-20,afternoon,Pune,Pune_res,park by river through city
42,Microcarbo,niger,niger,1978-01-20,afternoon,Pune,Pune_res,park by river through city
43,Anas,platyrhynchos,platyrhynchos,1978-09-01,various,William and Mary,Wlmsbg_res,park by river through city
44,Ardea,herodias,herodias,1978-10-01,various,William and Mary,Wlmsbg_res,lake in temperate deciduous forest; lakeshore; from canoe
45,Anas,platyrhynchos,platyrhynchos,1978-10-01,various,William and Mary,Wlmsbg_res,lake in temperate deciduous forest; from canoe
46,Gyps,himalayensis,himalayensis,1976-06-01,mid-day,Tehri Road east,India_80,montane temperate deciduous forest; soaring dramatically below ridge
47,Pericrocotus,ethologus,favillaceus,1976-06-03,mid-day,Tehri Road east,India_80,montane temperate deciduous forest; spectacular view of pair; first campephagid
48,Progne,subis,subis,1982-05-07,afternoon,rural Virginia,Wlmsbg_res,farmland; around martin house on front lawn
49,Accipiter,striatus,velox,1984-03-05,mid-day,Eno River SP,Durham_res,by river through temperate deciduous forest; perched; across the river; ID by Jav; first species in genus Accipiter
50,Chordeiles,minor,minor,1984-07-20,~1900,Durham,Durham_res,hawking for insects over the old Durham Bulls stadium during a game; drawn to the lightes; ID by grad school birder (Jav Lopez?)
51,Toxostoma,rufum,rufum,1985-05-02,various,Durham,Durham_res,edge of temperate deciduous forest; first mimid; once ID’ed seen to be frq
