seq,genus_ioc,species_ioc,num_spp,familiar_ioc,conservation,endemic
1,Struthio,camelus,3,Common Ostrich,LC,
2,Tinamus,major,12,Great Tinamou,NT,
3,Crypturellus,cinnamomeus,9,Thicket Tinamou,LC,
4,Crypturellus,boucardi,2,Slaty-breasted Tinamou,LC,
5,Anseranas,semipalmata,1,Magpie Goose,LC,
6,Dendrocygna,viduata,1,White-faced Whistling Duck,LC,
7,Dendrocygna,autumnalis,2,Black-bellied Whistling Duck,LC,
8,Dendrocygna,arborea,1,West Indian Whistling Duck,VU,
9,Dendrocygna,bicolor,1,Fulvous Whistling Duck,LC,
10,Dendrocygna,javanica,1,Lesser Whistling Duck,LC,
11,Branta,bernicla,3,Brant Goose,LC,
12,Branta,ruficollis,1,Red-breasted Goose,EN,
13,Branta,canadensis,7,Canada Goose,LC,
14,Branta,leucopsis,1,Barnacle Goose,LC,
15,Anser,indicus,1,Bar-headed Goose,LC,
16,Anser,caerulescens,2,Snow Goose,LC,
17,Anser,anser,2,Greylag Goose,LC,
18,Anser,brachyrhynchus,1,Pink-footed Goose,LC,
19,Anser,albifrons,5,Greater White-fronted Goose,LC,
20,Cygnus,atratus,1,Black Swan,LC,CE Australia
21,Cygnus,olor,1,Mute Swan,LC,
22,Cygnus,cygnus,1,Whooper Swan,LC,
23,Merganetta,armata,6,Torrent Duck,LC,
24,Plectropterus,gambensis,2,Spur-winged Goose,LC,
25,Sarkidiornis,melanotos,1,Knob-billed Duck,LC,
26,Alopochen,aegyptiaca,1,Egyptian Goose,LC,
27,Tadorna,tadorna,1,Common Shelduck,LC,
28,Tadorna,ferruginea,1,Ruddy Shelduck,LC,
29,Cairina,moschata,1,Muscovy Duck,LC,
30,Aix,sponsa,1,Wood Duck,LC,
31,Aix,galericulata,1,Mandarin Duck,LC,
32,Chenonetta,jubata,1,Maned Duck,LC,CE Australia
33,Nettapus,coromandelianus,2,Cotton Pygmy Goose,LC,
34,Spatula,hottentota,1,Blue-billed Teal,LC,
35,Spatula,puna,1,Puna Teal,LC,
36,Spatula,cyanoptera,5,Cinnamon Teal ,LC,
37,Spatula,discors,1,Blue-winged Teal,LC,
38,Spatula,smithii,1,Cape Shoveler,LC,
39,Spatula,clypeata,1,Northern Shoveler,LC,
40,Mareca,strepera,1,Gadwall,LC,
41,Mareca,penelope,1,Eurasian Wigeon,LC,
42,Mareca,americana,1,American Wigeon,LC,
43,Anas,sparsa,2,African Black Duck,LC,
