trip_name,start_date,end_date
Jabalpur_res,1960-01-20,1976-01-20
Furl_1_to,1963-01-01,1963-01-21
Madison_res,1963-01-20,1964-01-01
Landour_res,1964-01-03,1978-01-20
Kanha_67,1967-01-01,1967-01-06
Furl_2_to,1968-01-01,1968-01-04
Furl_2_from,1969-01-01,1969-01-03
Bombay_res,1970-01-15,1972-01-20
Furl_3_to,1972-01-01,1972-01-04
AnnArb_res,1972-01-01,1973-01-30
Pune_res,1976-01-20,1978-01-20
Europe_78,1978-01-01,1978-01-20
Wlmsbg_res,1978-01-01,1991-01-20
India_80,1980-01-01,1980-01-20
Rural_VA,1982-01-01,2016-01-01
Durham_res,1982-01-01,2016-01-02
Rural_NC_rec,1982-01-01,2016-01-03
Beaufort_rec,1984-01-01,2016-01-04
FL_85,1985-01-01,1983-01-07
Maine_85,1985-01-10,1985-01-20
Jordan_rec,1985-01-01,2017-01-31
Pisgah_85,1985-01-01,1985-01-04
Uwhar_86,1986-01-01,1986-01-04
Ontar_86,1986-01-01,1986-01-10
India_87,1987-01-01,1987-01-20
Bloom_res,1987-01-01,1990-01-30
WoodsH_rec,1989-01-10,2017-01-09
Mass_89,1989-01-01,1989-01-10
FraSco_90,1990-01-05,1990-01-18
Seattle_res,1990-01-15,1992-01-20
FriHarb_res,1990-01-21,1992-01-21
OlympP_90,1990-01-01,1990-01-17
Vanc_Is_91,1991-01-01,1991-01-10
MtRan_91,1991-01-10,1991-01-10
Carp_91,1991-01-22,1991-01-27
Nashv_res,1992-01-30,1993-01-01
StonBr_res,1993-01-15,1999-01-01
Brooklyn_94,1994-01-10,1994-01-10
FHL_sum,1994-01-10,2003-01-19
Bodega_95,1995-01-01,1995-01-04
PuntaC_95,1995-01-15,1995-01-22
Montauk_96,1996-01-01,1996-01-01
Tucson_98,1998-01-10,1998-01-14
USVI_99,1999-01-15,1999-01-21
Lansing_rec,1999-01-01,2014-01-24
Tokyo_99,1999-01-06,1999-01-12
ChapH_res,2000-01-01,2012-01-31
Dunedin_00,2000-01-29,2000-01-04
Chile_02,2002-01-23,2002-01-28
Ashev_rec,2002-01-01,2019-01-03
Ocrac_02,2002-01-07,2003-01-15
Sanibel_04,2003-01-27,2004-01-04
Ithaca_rec,2004-01-12,2004-01-14
Ocrac_04,2004-01-01,2004-01-08
SantaCz_04,2004-01-15,2004-01-02
Ocrac_05,2005-01-01,2005-01-08
Oxford_05,2005-01-20,2005-01-26
