gene,expt,time,expression
YAL001C,alpha,0,-0.15
YAL002W,alpha,0,-0.11
YAL003W,alpha,0,-0.14
YAL004W,alpha,0,-0.02
YAL005C,alpha,0,-0.05
YAL007C,alpha,0,-0.6
YAL008W,alpha,0,-0.28
YAL009W,alpha,0,-0.03
YAL010C,alpha,0,-0.05
YAL011W,alpha,0,-0.31
YAL012W,alpha,0,0.02
YAL013W,alpha,0,-0.36
YAL014C,alpha,0,-0.1
YAL015C,alpha,0,0
YAL016W,alpha,0,0.06
YAL017W,alpha,0,-0.4
YAL018C,alpha,0,0.46
YAL019W,alpha,0,-0.24
YAL020C,alpha,0,-0.02
YAL021C,alpha,0,-0.11
YAL022C,alpha,0,-0.36
YAL023C,alpha,0,-0.57
YAL024C,alpha,0,-0.19
YAL025C,alpha,0,0.17
YAL026C,alpha,0,0.06
YAL027W,alpha,0,0.11
YAL028W,alpha,0,-0.29
YAL029C,alpha,0,0.04
YAL030W,alpha,0,-0.13
YAL031C,alpha,0,-0.12
YAL032C,alpha,0,-0.23
YAL033W,alpha,0,-0.38
YAL034C,alpha,0,-0.54
YAL035C-A,alpha,0,NA
YAL035W,alpha,0,-0.35
YAL036C,alpha,0,0.04
YAL037W,alpha,0,0.07
YAL038W,alpha,0,-0.07
YAL039C,alpha,0,0.36
YAL040C,alpha,0,1.04
YAL041W,alpha,0,-0.14
YAL042W,alpha,0,-0.26
YAL043C,alpha,0,0
YAL043C-A,alpha,0,NA
YAL044C,alpha,0,-0.53
YAL045C,alpha,0,-0.01
YAL046C,alpha,0,-0.01
YAL047C,alpha,0,-0.2
YAL048C,alpha,0,-0.13
YAL049C,alpha,0,-0.05
YAL051W,alpha,0,-0.2
YAL053W,alpha,0,0.21
YAL054C,alpha,0,0
YAL055W,alpha,0,-0.31
YAL056W,alpha,0,-0.03
YAL058C-A,alpha,0,NA
YAL058W,alpha,0,-0.22
YAL059W,alpha,0,0.12
YAL060W,alpha,0,-0.69
YAL061W,alpha,0,-0.39
YAL062W,alpha,0,0
YAL063C,alpha,0,0.11
YAL064C-A,alpha,0,NA
YAL064W,alpha,0,-0.28
YAL064W-B,alpha,0,NA
YAL065C,alpha,0,0
YAL066W,alpha,0,0.22
YAL067C,alpha,0,0.01
YAL068C,alpha,0,NA
YAL069W,alpha,0,NA
YAR002C-A,alpha,0,NA
YAR002W,alpha,0,0.2
YAR003W,alpha,0,-0.3
YAR007C,alpha,0,-0.48
YAR008W,alpha,0,-0.35
YAR009C,alpha,0,0.96
YAR010C,alpha,0,0.23
YAR014C,alpha,0,0
YAR015W,alpha,0,0
YAR018C,alpha,0,-0.46
YAR019C,alpha,0,0.18
YAR020C,alpha,0,-0.19
YAR023C,alpha,0,0.04
YAR027W,alpha,0,0.4
YAR028W,alpha,0,0.33
YAR029W,alpha,0,0.14
YAR030C,alpha,0,-0.04
YAR031W,alpha,0,1.63
YAR033W,alpha,0,0.91
YAR035W,alpha,0,-0.3
YAR037W,alpha,0,0.09
YAR040C,alpha,0,0.03
YAR042W,alpha,0,-0.04
YAR043C,alpha,0,0.01
YAR044W,alpha,0,-0.09
YAR047C,alpha,0,-0.14
YAR050W,alpha,0,0.09
YAR052C,alpha,0,0.12
YAR053W,alpha,0,-0.13
YAR060C,alpha,0,-0.07
YAR061W,alpha,0,-0.07
YAR062W,alpha,0,-0.1
YAR064W,alpha,0,0.08
YAR066W,alpha,0,NA
YAR068W,alpha,0,0.18
YAR069C,alpha,0,-0.14
YAR070C,alpha,0,0.1
YAR071W,alpha,0,-1.35
YAR073W,alpha,0,0.07
YAR074C,alpha,0,0.03
YAR075W,alpha,0,NA
YBL001C,alpha,0,-1.22
YBL002W,alpha,0,-2.06
YBL003C,alpha,0,-1.61
YBL004W,alpha,0,-0.71
YBL005W,alpha,0,0.15
