seq,genus_ioc,species_ioc,binomen,individuals,date_observed,time_observed,location_name
10,Pavo,cristatus,Pavo cristatus,~2M+1F,1967-02-03,dusk,Kanha Kisli NP
13,Gallus,gallus,Gallus gallus,1M,1967-02-03,dusk,Kanha Kisli NP
16,Corvus,splendens,Corvus splendens,com,1967-02-10,various,Leonard campus
19,Acridotheres,tristis,Acridotheres tristis,com,1967-12-01,various,Leonard campus
22,Passer,domesticus,Passer domesticus,com,1967-12-01,various,Leonard campus
25,Columba,livia,Columba livia,com,1967-12-01,various,Leonard campus
28,Cyanocitta,cristata,Cyanocitta cristata,com,1968-07-01,various,Falls Church
31,Turdus,migratorius,Turdus migratorius,com,1968-07-01,various,Falls Church
34,Quiscalus,quiscula,Quiscalus quiscula,com,1968-07-01,various,Falls Church
37,Sturnus,vulgaris,Sturnus vulgaris,com,1968-07-01,various,Falls Church
40,Cardinalis,cardinalis,Cardinalis cardinalis,com,1968-07-01,various,Schuyler
43,Neophron,percnopterus,Neophron percnopterus,occ,1969-12-15,various,Jabalpur
46,Columba,livia,Columba livia,com,1970-12-15,various,Mumbai
49,Passer,domesticus,Passer domesticus,com,1970-12-15,various,Mumbai
52,Otus,spilocephalus,Otus spilocephalus,occ,1971-03-12,night,Landour
61,Centropus,sinensis,Centropus sinensis,occ,1972-01-05,various,Jabalpur
55,Ardea,coromandus,Ardea coromandus,com,1972-01-10,various,Jabalpur
64,Merops,orientalis,Merops orientalis,occ,1972-01-10,various,Jabalpur
58,Coracias,benghalensis,Coracias benghalensis,occ,1972-01-12,various,Jabalpur
67,Upupa,epops,Upupa epops,occ,1972-01-12,various,Jabalpur
70,Corvus,culminatus,Corvus culminatus,occ,1972-01-20,various,Jabalpur
73,Antigone,antigone,Antigone antigone,occ,1972-02-20,various,r MP IND
76,Alcedo,atthis,Alcedo atthis,occ,1972-02-20,various,r MP IND
79,Corvus,macrorhynchos,Corvus macrorhynchos,com,1972-07-01,various,Landour
82,Psittacula,krameri,Psittacula krameri,occ,1972-12-20,various,Jabalpur
85,Archilochus,colubris,Archilochus colubris,occ,1973-07-15,various,Schuyler
88,Branta,canadensis,Branta canadensis,com,1973-10-10,various,Ann Arbor
145,Gyps,himalayensis,Gyps himalayensis,1A,1976-06-01,mid-day,Tehri Road east
148,Pericrocotus,ethologus,Pericrocotus ethologus,1M+1F,1976-06-03,mid-day,Tehri Road east
100,Upupa,epops,Upupa epops,1A,1976-06-10,morning,Tehri Road Landour
103,Urocissa,erythrorhyncha,Urocissa erythrorhyncha,frq,1976-10-10,various,Tehri Road Landour
91,Leptoptilos,javanicus,Leptoptilos javanicus,~50A+~10N,1976-10-31,morning,Keoladeo NP
94,Ardea,coromandus,Ardea coromandus,~70A+~10N,1976-10-31,morning,Keoladeo NP
97,Antigone,antigone,Antigone antigone,~20A+~5N,1976-10-31,morning,Keoladeo NP
106,Picus,squamatus,Picus squamatus,1A,1976-12-15,unknown,Khati
109,Phoenicurus,fuliginosus,Phoenicurus fuliginosus,1A,1976-12-15,unknown,Khati
112,Myophonus,caeruleus,Myophonus caeruleus,~3A,1976-12-15,unknown,Khati
115,Phoenicurus,leucoephalus,Phoenicurus leucoephalus,1A,1976-12-15,unknown,Khati
118,Motacilla,alba,Motacilla alba,1A,1976-12-15,unknown,Khati
121,Columba,leuconota,Columba leuconota,~3A,1976-12-17,morning,Pindari Glacier
124,Ardea,intermedia,Ardea intermedia,1A,1978-01-20,afternoon,Pune
127,Egretta,garzetta,Egretta garzetta,1A,1978-01-20,afternoon,Pune
130,Vanellus,indicus,Vanellus indicus,1A,1978-01-20,afternoon,Pune
133,Microcarbo,niger,Microcarbo niger,1A,1978-01-20,afternoon,Pune
136,Anas,platyrhynchos,Anas platyrhynchos,com,1978-09-01,various,William and Mary
139,Ardea,herodias,Ardea herodias,occ,1978-10-01,various,William and Mary
142,Anas,platyrhynchos,Anas platyrhynchos,com,1978-10-01,various,William and Mary
151,Progne,subis,Progne subis,~6A,1982-05-07,afternoon,r VA USA
154,Accipiter,striatus,Accipiter striatus,1A,1984-03-05,mid-day,Eno River SP
163,Leucophaeus,atricilla,Leucophaeus atricilla,com,1984-07-10,various,Beaufort area
157,Chordeiles,minor,Chordeiles minor,~3A,1984-07-20,~1900,Durham
160,Toxostoma,rufum,Toxostoma rufum,frq,1985-05-02,various,Durham
166,Piranga,olivacea,Piranga olivacea,1M,1985-05-10,morning,Durham
169,Haliaeetus,leucocephalus,Haliaeetus leucocephalus,1A,1985-06-10,late afternoon,Vero Beach
172,Aphelocoma,coerulescens,Aphelocoma coerulescens,~6A,1985-06-12,various,Archbold
175,Corvus,brachyrhynchos,Corvus brachyrhynchos,com,1985-07-01,various,Durham
178,Nannopterum,auritum,Nannopterum auritum,1A,1985-07-12,unknown,Mount Desert Is
181,Phalacrocorax,carbo,Phalacrocorax carbo,1A,1985-07-12,unknown,Mount Desert Is
184,Pandion,haliaetus,Pandion haliaetus,1A,1985-07-13,mid-day,c ME USA
187,Somateria,mollissima,Somateria mollissima,~20A,1985-07-13,mid-day,c ME USA
190,Cepphus,grylle,Cepphus grylle,~6A,1985-07-13,mid-day,c ME USA
193,Puffinus,puffinus,Puffinus puffinus,~6A,1985-07-13,mid-day,c ME USA
196,Leucophaeus,atricilla,Leucophaeus atricilla,1A,1985-07-13,mid-day,c ME USA
199,Fratercula,arctica,Fratercula arctica,~100A,1985-07-13,mid-day,c ME USA
202,Oceanites,oceanicus,Oceanites oceanicus,1A,1985-07-13,mid-day,c ME USA
205,Setophaga,fusca,Setophaga fusca,1A,1985-07-15,morning,Schoodic Penninsula
208,Somateria,mollissima,Somateria mollissima,~4A,1985-07-15,morning,Schoodic Penninsula
211,Gavia,immer,Gavia immer,1A,1985-07-16,evening,Cobscook Bay SP
214,Setophaga,cerulea,Setophaga cerulea,1A,1985-10-10,morning,Pisgah NF
217,Setophaga,caerulescens,Setophaga caerulescens,1A,1985-10-10,morning,Pisgah NF
220,Aechmophorus,occidentalis,Aechmophorus occidentalis,~2A,1986-04-05,morning,Uwharrie NF
223,Buteo,platypterus,Buteo platypterus,1A,1986-04-05,unknown,Uwharrie NF
226,Vireo,solitarius,Vireo solitarius,1A,1986-04-05,unknown,Uwharrie NF
229,Larus,smithsonianus,Larus smithsonianus,com,1986-06-12,various,Beaufort area
232,Pelecanus,occidentalis,Pelecanus occidentalis,com,1986-06-12,various,Beaufort area
235,Rynchops,niger,Rynchops niger,1A,1986-06-12,morning,Beaufort area
